business_categories,business_id,business_name,business_review_count,business_stars,reviewer_average_stars,stars,text,user_id
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,4.25,4,This place has the greatest hours! The people are nice and helpful with recommending different coffees based on your taste preferences. I found this place when I was still a student at ASU and it was a great go-to spot if you want to hang out/study with some friends later in the night. I've met people up here and I got to do exactly what I wanted to do: drink coffee and catch up with friends until the wee hours (conversations can run long-especially whne girls get to talking).,ZW8jy6ehrNzn9A5iCubVGg
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,3.59,4,"Love this place! Love that there is a drive-thru, and they are super speedy and friendly. They also have several sugar-free options, which is awesome. I'll be visiting this place frequently.",Z7k2c3J8VSqCHpiqJnEgIg
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,3.8,3,"I've had some great coffee in my time and this place kind of swings and misses.  That being said, apparently they sell a butt ton of blended drinks so perhaps that is a big draw.
I mostly go for the fantastic night barristas, the large patio area and the folks that hang out there in this post Jamaican Blue era. 
I strongly suggest this place to a) support local endeavors, b) hang out with friends, or c) do some homework.  Don't come just for the coffee.",YnUOjXIzNebruPbKhCEIHQ
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,3.57,4,"A good selection of coffee and tea, as well as fresh pastries and generally an assortment of sandwiches and wraps (although quantity may vary by time of day). This place is definitely packed with local students, some getting there as soon as it opens to get one of the coveted 4-seater tables with outlets. There's still room in ""The Vault"" though if all of the main tables are taken. 

The staff is pretty friendly once you get to know them, there tends to be live music from time to time (usually have a schedule up on the main counter) and the music piped in over the PA system can range from classic rock, to reggae, to psy trance, to Japanese ""J-Rock"". 

Plenty of seating for smokers in a sheltered outside area. Bathrooms are separate from the main area, across the smoker's ""hallway"" and are usually pretty clean, which is nice. Some wear is evident in the place. Some of the carpet is lose and can be a tripping hazard if they don't have it taped down, some of the chairs and tables in the smoking area are starting to break down a bit, but all in all I like it here and I keep coming back.",YLIq7yD6OoEimMFisNxBMg
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,3.5,4,"Alrighty, if you've been down to ""The Bean"" anytime in the last year, you've more than likely seen my mug around there. It has slowly become my home away from home, so I feel fairly competent in giving a well rounded opinion. 

First off, as has been said by others, one of The Bean's best qualities is the fact that it is open 24 hours on the weekends (Friday 5 am - Sunday 11 pm). This works out wonderfully for us 21+ who don't want the night to end after the bar's throw us out to the streets. Basically, its a ""you can't stay here, but you can go to The Bean"" kind of situation. For the rest of the week, it is open from 5 am till 11 pm, giving us night owls a place to hang around. 

Now I can get a bit into the drink and food. If you're coming to The Bean, you know the coffee is alright. It's certainly not the best cup you will get in AZ, but they do roast their own beans on premises a few times a week (ensuring a pretty fresh cup of joe). You can tell the roasting days by the smoke coming off the chimney, and the acrid, dizzying, and often intoxicating scent, suffocating the area. If the coffee is to your liking, you can purchase it to bring home, whole or pre-ground. Offering your standard array of drip, french press, espresso, latte's, cappuccinos, etc..., all available served hot or cold,  Xtreme Bean has your coffee fix, well, fixed.

For those of you not coffee inclined, the Bean offer's a large array of loose leaf teas, which you can mix and match to make your own creation (May I be allowed to recommend a Black Currant/Moroccan Mint blend, on ice?). Green teas, decaf, black, the have it all. Also offered: creme blended drinks, italian sodas in a plethora of flavors, Naked Juice.

Food wise, they keep it pretty simple at the The Bean. Made fresh every 2 days, they have salads, sandwich's, and pita wraps, as well as a grand assortment of pastries (if you get there before noon, after which the pastries are usually gone) The wraps are alright, sandwich's are ok. It's all edible, and priced a bit higher then what its worth. Bagels, muffins, doughnuts, cookies, slices of cake, and usually some sort of banana bread all grace the food cooler. 

Moving on to seating, its pretty sacred reality if you get there during peak hours. With plenty of electrical sockets inside, in the floors and in the walls, The Bean is highly lap top friendly. The Internet connection is free, but it can border on agonizingly slow when there are numerous people using it. The aptly named Vault (The Bean IS located in what at one point was a bank) is generally known to be the quiet study section. Outside, there are your standard tables and chairs, most of which are falling apart, or wobbly, or bent. During the nights it can be difficult to impossible to find a spot, especially once it gets nice out. If you aren't a fan of smokers, then you may want to sit inside as nearly the entire patio is smoker friendly (even if the ashtrays mysteriously disappear every few months). 

Every few nights, they have some sort of live music being played. Monday nights is given over to the piano and classic show tunes crowd, who, as you guessed, sing show tunes and take turns playing the piano. Loudly, might I add. Loudly, and incessantly, and they take over the majority of the seats inside. If you need to get work done on a Monday, move into the Vault (where its kind of quieter) or go outside. Friday nights are a rotation of performers, usually a single guitarist with an amp. These performers usually add more ambiance than annoyance to the atmosphere, so even if you are going to the shop to sit and talk with people, you can do just that without getting drowned out by the musicians. Be sure to request Freebird, one day someone will actually play it. 

I'm beginning to think I've rambled enough for now, but I'm fairly certain you've gotten a decent picture. Good for the people, the socialization, the place to go on weekends after, literally, everything else in Tempe has closed. If you're ever down to The Bean, feel free to say hello if you see me on the patio!",yHkl3rzkOIoTU7M_9DMS5g
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,3.48,3,"Decent coffee, good prices. They could have more vegetarian options as far as sandwiches or food are concerned.

Study area is awesome, plenty of outlets with free wi-fi to study. Though, I'm not sure I visited during peak hours and I can imagine it getting busy.

My favorite thing is that they have a drive-through. In Tempe that's a huge plus for students on the go.

I love to go here when I have a couple hours to kill and I don't feel like sifting through the crowds of students on the ASU campus or at Hayden library. But for someone who doesn't have a car, getting here could be pretty problematic.",xV59HB14hq4XTecr3dFibw
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,4.86,5,"I love this place because it has strong iced coffee, they call it ""toddy"". Man this stuff is better then all the energy drinks. They also have FREE HIGH SPEED WIRELESS!!! No kidding, unlike that other place, no sign-ups, nothing, just go and and open and go. The berista's are good, and the drinks are real good. Great looking college women all day long. The drive through is great and 24 hours on the weekends. 
This is a great independent coffee shop. 
I also have held a few business meeting in there, no problem, no one messes with ya, no one clamoring you to buy drinks. 
I recommend this place to all my friends.",X7gj66M1lHJfq1KpXioWiQ
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,3.38,3,"they are open late and that's the one thing that sets them apart from any of the other coffee places i go to. i'll stick with gold bar or even coffee rush if it's during normal hours, tho..",x0r-IamYgKMgF3v7tJ_PTg
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,4.7,4,"I've been to the Xtreme Bean twice now and have enjoyed it both times.  Instead of going for a chill quite atmosphere, the Bean goes for a more hip & upbeat feel -- and does a good job of it.

Every time I have come there are a lot of college students studying, groups meeting for whatever reason, and other people just there to hang out.  The busy atmosphere goes really well with the feel of the place - it might be strange to be here when it was quiet or empty!

The barista's pull good shots and the pastries are good, but I was pretty disappointed when they told me no, we don't have any vegetarian sandwiches because (basically) it's not cost effective.",WwJXSJikxXwxd_9Ox5DCPQ
Food; Coffee & Tea,IoFggnoj1P4EcmNEP2K6Ng,Xtreme Bean Coffee Company,122,3.5,3.79,3,"I like how large this place is and the different seating options to suit your needs.  This is a great place to meet up with people, close to the freeway- I see business men meeting up here, I've had study groups here and I meet with my tutor here.  Coffee and tea is consistently good.  Free wi-fi - make sure you ask for the password when you grab your drink.

They lost a star because it's kinda dirty in there - messy tables and trash on the ground.",wFweIWhv2fREZV_dYkz_1g
